id,price,year,mileage,engine_capacity,engine_power,accident_free,origin,four_wheel_drive,invoice_vat,estate,fuel_type,transmission
ID6DQdnz,51900,2017,112000,1798,180,False,Unknown,False,False,False,Petrol,Automatic
ID6EAg2n,102999,2019,64950,1498,150,True,Polska,False,True,True,Petrol,Manual
ID6EarT7,67900,2018,142000,1395,150,True,Polska,False,False,True,Petrol,Manual
ID6EeciP,122000,2021,48000,1968,150,False,Niemcy,False,False,True,Diesel,Automatic
ID6EFZIa,62000,2018,203300,1968,150,True,Austria,False,False,True,Diesel,Manual
ID6EGB8g,67900,2016,156000,1968,190,True,Niemcy,False,False,True,Diesel,Automatic
ID6EGgYn,82900,2017,135000,1798,180,True,Polska,False,True,False,Petrol,Automatic
ID6EHdux,62900,2014,119900,1968,150,True,Polska,False,False,False,Diesel,Manual
ID6EJ4ld,47900,2016,198000,1395,125,False,Estonia,False,False,True,Petrol,Automatic
ID6EL8rh,61900,2016,161000,1968,150,True,Niemcy,False,False,True,Diesel,Automatic
ID6ENvJb,41600,2015,108000,1798,180,False,Stany,False,False,False,Petrol,Automatic
ID6ESlYE,82500,2017,80400,1395,150,True,Holandia,False,False,False,Petrol,Automatic
ID6EVj4u,114900,2019,129458,1968,190,True,Szwecja,True,False,True,Diesel,Automatic
ID6EWVtm,62900,2016,160000,1968,150,False,Niemcy,False,False,True,Diesel,Automatic
ID6EYBUq,63000,2015,230000,1968,190,True,Polska,False,False,True,Diesel,Automatic
ID6F7Ruq,99900,2020,167890,1968,190,True,Szwecja,True,False,True,Diesel,Automatic
ID6F8gEZ,59999,2015,14000,1395,150,False,Francja,False,False,False,Petrol,Automatic
ID6FADAh,67999,2018,225000,1968,190,True,Niemcy,False,False,True,Diesel,Automatic
ID6FaFro,79900,2017,188000,1968,150,True,Niemcy,False,False,True,Diesel,Automatic
ID6FapDs,13900,2020,16500,1498,150,False,Polska,False,True,False,Petrol,Automatic
ID6FapMf,109900,2020,97000,1968,150,True,Polska,False,False,True,Diesel,Automatic
ID6FBgyI,110000,2020,108000,1984,190,True,Polska,False,False,True,Petrol,Automatic
ID6FBlZH,79950,2019,157000,1968,150,True,Unknown,False,False,True,Diesel,Automatic
ID6FDETw,64900,2018,77000,1968,150,False,Niemcy,False,False,True,Diesel,Manual
ID6FDMQ1,55900,2016,157350,1598,120,True,Włochy,False,False,True,Diesel,Automatic
ID6FDSWw,78000,2020,65000,1498,150,True,Polska,False,False,False,Petrol,Automatic
ID6FDW7r,71900,2018,170000,1968,150,False,Polska,False,False,True,Diesel,Automatic
ID6FEDrD,46900,2020,115000,1984,190,False,Unknown,False,True,True,Petrol,Automatic
